Filename,Mean,Standard Deviation,Variance,Skew,Kurtosis
 KIC  9899181 SECTOR 14.csv,2706.024018986105,9.298153822713799,86.45566451084723,-0.015141722569150654,0.07354773832116557
 KIC  9760531 SECTOR 14.csv,32119.69656849761,370.7389134738305,137447.3419637564,0.019539184792801683,-1.464777691169563
 KIC  7177892 SECTOR 14.csv,5694.674575602475,60.9502384625876,3714.931568646293,-1.7936727216056727,4.871208471945185
 KIC  10724533 SECTOR 40.csv,46681.34966228137,1751.4535259192085,3067589.4534548274,-0.6567956963119065,-0.5093431280793226
 KIC  10000490 SECTOR 41.csv,5533.392110304552,97.1230045659311,9432.878015913873,-1.9876628735097757,4.034316528822169
 KIC  3228863 SECTOR 41.csv,4301.594570134265,567.3940631760619,321936.0229274409,-1.1902159730399529,0.4041553593179992
 KIC  8285349 SECTOR 41.csv,2795.453740988975,59.8732262052764,3584.803216228197,-0.07780844280878582,-0.8598330571218731
 KIC  5471619 SECTOR 15.csv,10570.635536356978,378.8540596437472,143530.39850854795,-1.968522353460276,3.1134262452341184
 KIC  11179657 SECTOR 40.csv,489.66789188551746,17.429422739775255,303.78477704179477,0.3281233282162547,1.2191953583341988
 KIC  3443790 SECTOR 14.csv,3703.125337355127,30.113669418051565,906.833085819694,-1.4884347812775627,21.002924157863916
 KIC  10789421 SECTOR 15.csv,3180.552638914868,15.191565886501923,230.78367408392896,-0.006852319566632307,-0.3313782432348549
 KIC  8758161 SECTOR 55.csv,2228.3200957102,48.53902785698574,2356.037225301238,-2.444311275127427,5.0993316775828665
 KIC  10815379 SECTOR 56.csv,6603.729755517031,151.4587028195319,22939.73865977528,-0.5864854411133585,-0.7595005984818646
 KIC  7690843 SECTOR 41.csv,10038.389510506495,119.53873035743126,14289.508055466658,-1.3640462859846834,1.0901745591823775
 KIC  10268903 SECTOR 54.csv,340.08960490892844,6.289585220009116,39.55888223975712,0.02393345944725193,-0.7021519675520747
 KIC  7690843 SECTOR 55.csv,10088.883199830527,115.11467556017666,13251.388529324735,-1.2466941398086662,0.7237479545307641
 KIC  11560447 SECTOR 40.csv,11942.911435464792,617.8533453676764,381742.7563820292,-1.7787860660240769,2.7934128136548892
 KIC  7766185 SECTOR 55.csv,3450.131031209618,432.3148574255894,186896.13595090772,-0.5999893184741133,-1.0314344348764124
 KIC  11972387 SECTOR 14.csv,2724.0073889329133,10.968579889840226,120.30974479980743,-0.14794867453699487,0.027490721741741275
 KIC  8262223 SECTOR 41.csv,2932.5821632900333,74.03510130222104,5481.196224830131,-2.2602179358492087,4.96095851811612
 KIC  9906590 SECTOR 54.csv,2385.6788699854733,19.966199794403135,398.6491342300238,-0.9070422338943378,0.9694050121578388
 KIC  6443392 SECTOR 54.csv,1866.21819640742,13.499160803455498,182.22734239754928,-1.475771574161525,2.3615489274005736
 KIC  9108579 SECTOR 54.csv,5131.919443909934,52.033729279686476,2707.5089827517018,-0.45503711822284415,-0.5767924055109157
 KIC  9906590 SECTOR 41.csv,2219.161068349525,17.82432541283523,317.70657642264376,-1.1226966427060183,1.2939634417362984
 KIC  7879399 SECTOR 54.csv,9029.118292954523,396.52130230888395,157229.14318473334,-0.5993813755188138,-0.9923453435038279
 KIC  11135978 SECTOR 14.csv,2934.7957051400344,12.04297974716138,145.03336119053918,-0.12490806450780685,-0.15202021261594645
 KIC  8545456 SECTOR 55.csv,3961.574305677665,51.1476853731233,2616.085719028011,-0.19967426209652267,-0.6848388868126758
 KIC  9944201 SECTOR 54.csv,165.9003729148508,2.8722381579131024,8.249752035772053,0.1454303181046428,3.909461058446625
 KIC  11391667 SECTOR 41.csv,1422.0711354710184,7.212821048599047,52.02478747911346,-0.9302646636821373,1.897510811874143
 KIC  5296877 SECTOR 15.csv,2580.944198642177,93.166832654458,8680.058706863783,-0.028911958924476643,-1.430674742324451
 KIC  4729553 SECTOR 41.csv,2789.7188510697524,225.64671833000736,50916.44149310168,-1.7220808579243243,2.0863739318230876
 KIC  4150611 SECTOR 54.csv,145514.69242205835,1370.171957431864,1877371.1929326658,-5.461557960963207,33.20647650642935
 KIC  1868650 SECTOR 14.csv,424.5921643314017,15.24019977447565,232.26368916592767,1.2981288062633203,6.425139170232113
 KIC  3114667 SECTOR 55.csv,462.9825716110582,11.97212791171511,143.33184673446797,-0.007734495325458011,-0.9867299209189069
 KIC  11179657 SECTOR 54.csv,196.31055026518197,14.471963925856196,209.43773987128307,-0.0018935044981516018,-0.46097210074864003
 KIC  10789421 SECTOR 14.csv,2686.688712103778,11.813013136580807,139.5472793650307,-0.25456767568644095,0.04442900534361982
 KIC  3448245 SECTOR 55.csv,3144.095813986866,326.6533643115096,106702.42041602783,-0.8680645656149186,-0.1926946061228474
 KIC  5513861 SECTOR 26.csv,4959.695819432147,333.6580213635477,111327.67522023764,-1.9384067313092999,2.34572666618335
 KIC  9392682 SECTOR 53.csv,6036.651020294713,315.83923552055023,99754.4226942056,-0.3245037855428265,-1.2962343367815294
 KIC  9451096 SECTOR 40.csv,2076.042547218398,103.84667839680152,10784.132614048724,-2.619140936746799,6.370915438566444
 KIC  10485137 SECTOR 54.csv,5006.3352031344275,448.7966199881959,201418.40611282914,-0.71752269683362,-0.7544335079738778
 KIC  8262223 SECTOR 55.csv,2910.619793581188,71.12384958548932,5058.60197985931,-2.216673039688084,4.724379328392728
 KIC  5123176 SECTOR 54.csv,5459.340118057884,482.79058058318077,233086.74469984477,-0.32812612807951774,-1.307862105268737
